beneficiary_id,beneficiary_type,bank_ifsc_prefix,account_hash
BEN_000001,UPI_VPA,BARB,ACT_c483cae52b3a0935
BEN_000002,INDIVIDUAL_ACCOUNT,KKBK,ACT_ae9fac6f01d8739a
BEN_000003,INDIVIDUAL_ACCOUNT,KKBK,ACT_dd9f8018bff9e4e7
BEN_000004,ESCROW_GATEWAY,BARB,ACT_5d4de6b3d34f61b7
BEN_000005,UPI_VPA,UTIB,ACT_bca5a8cd61bd135d
BEN_000006,UPI_VPA,BARB,ACT_30f10a5b89797735
BEN_000007,INDIVIDUAL_ACCOUNT,ICIC,ACT_d739580ddc816554
BEN_000008,UPI_VPA,KKBK,ACT_057846c0656ec318
BEN_000009,INDIVIDUAL_ACCOUNT,UTIB,ACT_d247044ddcb6b47f
BEN_000010,UPI_VPA,BARB,ACT_7f5c1ba223344177
BEN_000011,INDIVIDUAL_ACCOUNT,BARB,ACT_dbdf2784cf7230d0
BEN_000012,UPI_VPA,ICIC,ACT_5df13d04e66f7d3a
BEN_000013,ESCROW_GATEWAY,KKBK,ACT_02aed17ce0119a24
BEN_000014,INDIVIDUAL_ACCOUNT,PUNB,ACT_38466426540dbd37
BEN_000015,UPI_VPA,UTIB,ACT_6e11df5f43bda60c
BEN_000016,INDIVIDUAL_ACCOUNT,UTIB,ACT_d8346cdcdece1c44
BEN_000017,INDIVIDUAL_ACCOUNT,BARB,ACT_cbc3e79b9b97150c
BEN_000018,UPI_VPA,ICIC,ACT_b933507f9280b77e
BEN_000019,WALLET_MERCHANT,BARB,ACT_3cee4f758d8a71f5
BEN_000020,UPI_VPA,HDFC,ACT_db1cbbbe31a3f4a5
BEN_000021,ESCROW_GATEWAY,SBIN,ACT_6da745d15ac20a79
BEN_000022,UPI_VPA,PUNB,ACT_ec88dbabf13c3b53
BEN_000023,UPI_VPA,SBIN,ACT_37c32bcc7f89e92c
BEN_000024,UPI_VPA,PUNB,ACT_753f1514302136e0
BEN_000025,INDIVIDUAL_ACCOUNT,UTIB,ACT_dee89dd2b8954383
BEN_000026,WALLET_MERCHANT,HDFC,ACT_0163771167383f12
BEN_000027,UPI_VPA,ICIC,ACT_27fd5d71100bccf0
BEN_000028,UPI_VPA,UTIB,ACT_0e1ec84a5a19300f
BEN_000029,UPI_VPA,PUNB,ACT_eae6df1290410ada
BEN_000030,INDIVIDUAL_ACCOUNT,SBIN,ACT_9c9f0e8784ef22a9
BEN_000031,UPI_VPA,SBIN,ACT_fb8a4c6b6f408339
BEN_000032,INDIVIDUAL_ACCOUNT,ICIC,ACT_7fa2d10722755f6a
BEN_000033,UPI_VPA,UTIB,ACT_fe47aef0d892cae4
BEN_000034,INDIVIDUAL_ACCOUNT,PUNB,ACT_d510d8130edf3dd8
BEN_000035,UPI_VPA,ICIC,ACT_2fde5508879a8eb8
BEN_000036,INDIVIDUAL_ACCOUNT,HDFC,ACT_f3467a15e804ab6c
BEN_000037,INDIVIDUAL_ACCOUNT,ICIC,ACT_643c4ef5153d4c3c
BEN_000038,UPI_VPA,ICIC,ACT_a1df3737539760e6
BEN_000039,UPI_VPA,KKBK,ACT_b8e58b4d49e256dc
BEN_000040,UPI_VPA,KKBK,ACT_18a4a1de5dfc0202
BEN_000041,WALLET_MERCHANT,UTIB,ACT_2be9e54354bdf281
BEN_000042,INDIVIDUAL_ACCOUNT,BARB,ACT_83e2f54451f28405
BEN_000043,INDIVIDUAL_ACCOUNT,SBIN,ACT_572f630c8987ad31
BEN_000044,INDIVIDUAL_ACCOUNT,KKBK,ACT_99c757cb5cf4921b
BEN_000045,INDIVIDUAL_ACCOUNT,HDFC,ACT_f6bfe8610b363702
BEN_000046,INDIVIDUAL_ACCOUNT,SBIN,ACT_de50d141ea3dc27a
BEN_000047,INDIVIDUAL_ACCOUNT,ICIC,ACT_8279ab8fc4c6c1cc
BEN_000048,INDIVIDUAL_ACCOUNT,HDFC,ACT_d1968ae8400bfccc
BEN_000049,WALLET_MERCHANT,ICIC,ACT_102f95145ae26d4a
BEN_000050,INDIVIDUAL_ACCOUNT,HDFC,ACT_a3dd8079274d1e41
