customer_id,customer_name,customer_email,customer_phone_hash,risk_tier,created_at
CUST_000001,Fiyaz Varghese,user_1_cfa29a@example.synth,PH_cfa29ae1a080,LOW_ACTIVITY,2025-10-19T02:48:18
CUST_000002,Vamakshi Cheema,user_2_421994@example.synth,PH_421994de880e,STANDARD,2025-04-06T11:52:53
CUST_000003,Benjamin Misra,user_3_1909ca@example.synth,PH_1909caf25740,STANDARD,2025-09-20T07:04:47
CUST_000004,Joshua Bhandari,user_4_c2dfef@example.synth,PH_c2dfef03d24d,STANDARD,2025-09-05T20:14:30
CUST_000005,Balvan Ahuja,user_5_5e9064@example.synth,PH_5e9064e05538,STANDARD,2025-12-14T22:51:43
CUST_000006,Nitesh Kakar,user_6_7b2ff8@example.synth,PH_7b2ff8bc3934,STANDARD,2025-03-20T22:29:28
CUST_000007,Brijesh Chatterjee,user_7_3c7319@example.synth,PH_3c7319511479,STANDARD,2025-05-24T09:42:22
CUST_000008,Chanakya Master,user_8_c2c2c3@example.synth,PH_c2c2c390323d,STANDARD,2025-10-09T23:55:11
CUST_000009,Pahal Balasubramanian,user_9_dbf0de@example.synth,PH_dbf0deb27ea7,STANDARD,2025-11-24T09:31:54
CUST_000010,Chanakya Wagle,user_10_cb7a1a@example.synth,PH_cb7a1a154dc8,PREMIUM,2026-02-20T02:45:00
CUST_000011,Henry Bera,user_11_0247ea@example.synth,PH_0247eabe482e,STANDARD,2025-10-20T07:50:40
CUST_000012,Yochana Jaggi,user_12_af19d9@example.synth,PH_af19d9b7d4f7,PREMIUM,2025-05-07T23:05:42
CUST_000013,Anika Sandal,user_13_fdac3d@example.synth,PH_fdac3d6fc1db,STANDARD,2025-05-26T05:10:35
CUST_000014,Yochana Bhatti,user_14_5f275f@example.synth,PH_5f275fdcc3c4,STANDARD,2026-01-27T08:40:40
CUST_000015,Victor Ravi,user_15_cee310@example.synth,PH_cee31070b162,STANDARD,2026-01-07T17:50:55
CUST_000016,Ekantika Vala,user_16_e31082@example.synth,PH_e31082f7bd32,PREMIUM,2025-04-11T19:55:20
CUST_000017,Balhaar Ghosh,user_17_c70926@example.synth,PH_c70926372a28,STANDARD,2026-01-17T03:35:33
CUST_000018,Aashi Verma,user_18_569b17@example.synth,PH_569b1786edfd,PREMIUM,2025-12-12T14:17:10
CUST_000019,Yachana Mand,user_19_a81f69@example.synth,PH_a81f69e0d039,STANDARD,2025-06-26T09:53:54
CUST_000020,Naveen Srinivas,user_20_e7f9ab@example.synth,PH_e7f9ab4f912f,STANDARD,2025-10-19T10:05:01
CUST_000021,Vinaya Rana,user_21_e31fbd@example.synth,PH_e31fbd1bba77,STANDARD,2025-03-19T15:25:48
CUST_000022,Avi Buch,user_22_dd58d9@example.synth,PH_dd58d925506d,STANDARD,2025-08-03T01:16:56
CUST_000023,Leena Rai,user_23_5a9cd1@example.synth,PH_5a9cd1438fcd,STANDARD,2025-03-25T17:49:22
CUST_000024,Mekhala Shetty,user_24_f2bcd0@example.synth,PH_f2bcd0ea1544,STANDARD,2025-05-22T10:29:25
CUST_000025,Niharika Gulati,user_25_51b367@example.synth,PH_51b367188bd7,STANDARD,2025-04-10T08:04:47
