beneficiary_id,beneficiary_type,bank_ifsc_prefix,account_hash
BEN_000001,INDIVIDUAL_ACCOUNT,PUNB,ACT_9b75b333503bde5e
BEN_000002,INDIVIDUAL_ACCOUNT,UTIB,ACT_a97dd1801c55217a
BEN_000003,UPI_VPA,HDFC,ACT_3f2c04e23059f7d6
BEN_000004,UPI_VPA,HDFC,ACT_23cff3143af517b8
BEN_000005,INDIVIDUAL_ACCOUNT,HDFC,ACT_4158a509aa441b25
BEN_000006,UPI_VPA,UTIB,ACT_8dd11bf37dbfbce2
BEN_000007,INDIVIDUAL_ACCOUNT,ICIC,ACT_3a9aea3371aec19e
BEN_000008,INDIVIDUAL_ACCOUNT,ICIC,ACT_b6a923787e82d2ca
BEN_000009,INDIVIDUAL_ACCOUNT,PUNB,ACT_f3a3785d2c5efbe5
BEN_000010,INDIVIDUAL_ACCOUNT,PUNB,ACT_2d221eecc0724303
BEN_000011,INDIVIDUAL_ACCOUNT,UTIB,ACT_05ecd198273028a9
BEN_000012,INDIVIDUAL_ACCOUNT,BARB,ACT_edee96ac5173241a
BEN_000013,UPI_VPA,PUNB,ACT_6bd85ae91042ee90
BEN_000014,INDIVIDUAL_ACCOUNT,ICIC,ACT_dcb721d6ebcbdc76
BEN_000015,INDIVIDUAL_ACCOUNT,BARB,ACT_fdadd0b60918ffad
BEN_000016,INDIVIDUAL_ACCOUNT,BARB,ACT_44c8ff200af8f1ab
BEN_000017,UPI_VPA,KKBK,ACT_c0c723cabc7cd188
BEN_000018,INDIVIDUAL_ACCOUNT,BARB,ACT_0b9b573399147e62
BEN_000019,UPI_VPA,BARB,ACT_8408232d70510b41
BEN_000020,INDIVIDUAL_ACCOUNT,HDFC,ACT_ba5f3934a53e0879
BEN_000021,INDIVIDUAL_ACCOUNT,HDFC,ACT_cd971aa01a4c9ea3
BEN_000022,INDIVIDUAL_ACCOUNT,ICIC,ACT_22b4315935e67fee
BEN_000023,INDIVIDUAL_ACCOUNT,UTIB,ACT_acaec9cda3eda825
BEN_000024,INDIVIDUAL_ACCOUNT,KKBK,ACT_ba58b5f5e1485406
BEN_000025,WALLET_MERCHANT,PUNB,ACT_d891aa5648ff5763
BEN_000026,INDIVIDUAL_ACCOUNT,KKBK,ACT_f2e20793367e3454
BEN_000027,INDIVIDUAL_ACCOUNT,SBIN,ACT_e6ba0b2ccd73c127
BEN_000028,INDIVIDUAL_ACCOUNT,SBIN,ACT_a7f23efd695931ac
BEN_000029,WALLET_MERCHANT,KKBK,ACT_e9382e5428bc81f5
BEN_000030,UPI_VPA,BARB,ACT_a480375bfc1a6a22
BEN_000031,UPI_VPA,SBIN,ACT_2d9ec3dcb9ee4dc7
BEN_000032,INDIVIDUAL_ACCOUNT,ICIC,ACT_6b73786ce3db6e07
BEN_000033,UPI_VPA,BARB,ACT_b2b0426586ab8877
BEN_000034,INDIVIDUAL_ACCOUNT,ICIC,ACT_7cad3ac0fd86949d
BEN_000035,INDIVIDUAL_ACCOUNT,ICIC,ACT_aa8f2b290cccec93
BEN_000036,UPI_VPA,BARB,ACT_b170749968632be5
BEN_000037,WALLET_MERCHANT,ICIC,ACT_2ee654f922a048ad
BEN_000038,UPI_VPA,UTIB,ACT_57da726080a16faa
BEN_000039,INDIVIDUAL_ACCOUNT,HDFC,ACT_7133cbf7f6276fa6
BEN_000040,UPI_VPA,SBIN,ACT_4348083e06499c32
BEN_000041,UPI_VPA,ICIC,ACT_c25359f0c23ac179
BEN_000042,UPI_VPA,KKBK,ACT_3fb9dbfb32b89572
BEN_000043,INDIVIDUAL_ACCOUNT,SBIN,ACT_c3b50f698c7764b6
BEN_000044,INDIVIDUAL_ACCOUNT,HDFC,ACT_66028c47de7b673c
BEN_000045,UPI_VPA,HDFC,ACT_b4aef31d86f5bfac
BEN_000046,INDIVIDUAL_ACCOUNT,HDFC,ACT_071cb59f6af5d5c5
BEN_000047,INDIVIDUAL_ACCOUNT,SBIN,ACT_22a5e220820273ad
BEN_000048,WALLET_MERCHANT,KKBK,ACT_4c5f1ea0386d64f3
BEN_000049,INDIVIDUAL_ACCOUNT,KKBK,ACT_be4b57a8b6d4cf3c
BEN_000050,INDIVIDUAL_ACCOUNT,HDFC,ACT_68085a96600b074e
BEN_000051,UPI_VPA,ICIC,ACT_3720e209a67f55f8
BEN_000052,INDIVIDUAL_ACCOUNT,SBIN,ACT_01f0efe19954193b
BEN_000053,ESCROW_GATEWAY,BARB,ACT_29f809c4cdfd149a
BEN_000054,INDIVIDUAL_ACCOUNT,SBIN,ACT_bf9e1799d293e555
BEN_000055,INDIVIDUAL_ACCOUNT,SBIN,ACT_12be36d03a07f78b
BEN_000056,UPI_VPA,SBIN,ACT_cb3da9df8270bd5a
BEN_000057,INDIVIDUAL_ACCOUNT,HDFC,ACT_b95f96419f5da0fa
BEN_000058,INDIVIDUAL_ACCOUNT,UTIB,ACT_8fcc6c8bc1514b08
BEN_000059,UPI_VPA,SBIN,ACT_c9a02e2be8e9585b
BEN_000060,UPI_VPA,UTIB,ACT_8fb6224d57d76bec
BEN_000061,INDIVIDUAL_ACCOUNT,HDFC,ACT_51fdf4773f5c3c66
BEN_000062,INDIVIDUAL_ACCOUNT,SBIN,ACT_f683bdf472a49732
BEN_000063,INDIVIDUAL_ACCOUNT,UTIB,ACT_bbc9d4c7c6efbfc0
BEN_000064,ESCROW_GATEWAY,SBIN,ACT_976fae165e1a444a
BEN_000065,INDIVIDUAL_ACCOUNT,SBIN,ACT_cd59250dbb4f2753
BEN_000066,INDIVIDUAL_ACCOUNT,KKBK,ACT_16f2cd4ba7db0d87
BEN_000067,UPI_VPA,UTIB,ACT_e31cf0754dbd8f17
BEN_000068,INDIVIDUAL_ACCOUNT,ICIC,ACT_b97fc5476b5dd7b8
BEN_000069,INDIVIDUAL_ACCOUNT,HDFC,ACT_61f7b098354e7964
BEN_000070,UPI_VPA,BARB,ACT_e2f454267721be37
BEN_000071,UPI_VPA,KKBK,ACT_db08ebd82d10b14e
BEN_000072,INDIVIDUAL_ACCOUNT,UTIB,ACT_2a658720d48a7dcd
BEN_000073,INDIVIDUAL_ACCOUNT,HDFC,ACT_b52f0d68abe7916e
BEN_000074,UPI_VPA,HDFC,ACT_bf0790b8af6b4e49
BEN_000075,WALLET_MERCHANT,PUNB,ACT_34cc5a9f6e7e3169
BEN_000076,WALLET_MERCHANT,PUNB,ACT_e8fc234ea5d6a4a7
BEN_000077,INDIVIDUAL_ACCOUNT,BARB,ACT_255fdfe3e53e4775
BEN_000078,INDIVIDUAL_ACCOUNT,KKBK,ACT_a5ad0f7d8801355d
BEN_000079,INDIVIDUAL_ACCOUNT,UTIB,ACT_f778cc5287cfc184
BEN_000080,UPI_VPA,SBIN,ACT_dcf67cc1d5211f33
BEN_000081,INDIVIDUAL_ACCOUNT,KKBK,ACT_899a72a3be1f041c
BEN_000082,INDIVIDUAL_ACCOUNT,SBIN,ACT_8e7c278d8147ba92
BEN_000083,UPI_VPA,HDFC,ACT_ae66ccd98080ac0a
BEN_000084,INDIVIDUAL_ACCOUNT,PUNB,ACT_200e726d7c60c12e
BEN_000085,INDIVIDUAL_ACCOUNT,ICIC,ACT_8d3f066fe124d103
BEN_000086,INDIVIDUAL_ACCOUNT,KKBK,ACT_413ec01b915e5271
BEN_000087,INDIVIDUAL_ACCOUNT,KKBK,ACT_3be8b50672ffb36c
BEN_000088,INDIVIDUAL_ACCOUNT,BARB,ACT_6cea5d7d04768eaa
BEN_000089,UPI_VPA,BARB,ACT_637c1ff29077dba8
BEN_000090,INDIVIDUAL_ACCOUNT,KKBK,ACT_a448e4dc66a76199
BEN_000091,WALLET_MERCHANT,UTIB,ACT_3b299a5debc5b7d5
BEN_000092,INDIVIDUAL_ACCOUNT,PUNB,ACT_f97a60d1663c516e
BEN_000093,INDIVIDUAL_ACCOUNT,ICIC,ACT_640709be02f74961
BEN_000094,INDIVIDUAL_ACCOUNT,KKBK,ACT_bcb814525d826258
BEN_000095,INDIVIDUAL_ACCOUNT,ICIC,ACT_fa08e5c6af97fb1b
BEN_000096,INDIVIDUAL_ACCOUNT,BARB,ACT_c2c42af4fd921f40
BEN_000097,UPI_VPA,BARB,ACT_ef5e508e96f470db
BEN_000098,UPI_VPA,ICIC,ACT_54d2d0feae245315
BEN_000099,INDIVIDUAL_ACCOUNT,PUNB,ACT_92699660fdcfc3ba
BEN_000100,WALLET_MERCHANT,HDFC,ACT_1b9fca951602f20f
