customer_id,customer_name,customer_email,customer_phone_hash,risk_tier,created_at
CUST_000001,Anamika Dugal,user_1_79005b@example.synth,PH_79005ba3ef1d,STANDARD,2025-10-31T11:17:07
CUST_000002,Vasatika Palan,user_2_2f01d8@example.synth,PH_2f01d82b287c,LOW_ACTIVITY,2025-03-02T13:07:33
CUST_000003,Sai Nath,user_3_a60a83@example.synth,PH_a60a83e8b9dc,STANDARD,2025-11-04T15:52:54
CUST_000004,Yamini Varma,user_4_a5b91b@example.synth,PH_a5b91baf4b1d,STANDARD,2025-05-15T23:02:40
CUST_000005,Siddharth Karan,user_5_e01a39@example.synth,PH_e01a393eddb7,STANDARD,2025-05-10T13:08:50
CUST_000006,Andrew Magar,user_6_fbf1e4@example.synth,PH_fbf1e43514e5,STANDARD,2025-10-11T03:22:18
CUST_000007,Anvi Bhavsar,user_7_90f94b@example.synth,PH_90f94b79c765,STANDARD,2025-02-18T04:03:18
CUST_000008,Adya Gara,user_8_b27cb8@example.synth,PH_b27cb80aa0fc,LOW_ACTIVITY,2025-09-06T12:20:14
CUST_000009,Indali Dewan,user_9_e8f5fa@example.synth,PH_e8f5fa155725,STANDARD,2025-09-16T03:37:02
CUST_000010,Balendra Naidu,user_10_fa7330@example.synth,PH_fa73307d95b0,STANDARD,2025-11-02T05:13:14
CUST_000011,Vamakshi Goel,user_11_c45302@example.synth,PH_c45302726e21,STANDARD,2025-04-17T21:02:35
CUST_000012,Yatan Nadig,user_12_fbc6c1@example.synth,PH_fbc6c1ab6f99,STANDARD,2025-10-19T01:54:04
CUST_000013,Arin Guha,user_13_da721c@example.synth,PH_da721cae4ff2,PREMIUM,2025-04-13T02:17:21
CUST_000014,Krish Joshi,user_14_398619@example.synth,PH_3986191d8d53,PREMIUM,2025-11-30T19:04:54
CUST_000015,Vamakshi Sinha,user_15_de8edc@example.synth,PH_de8edc2d43ca,PREMIUM,2025-04-01T01:03:36
CUST_000016,Wriddhish Pant,user_16_a7bb8e@example.synth,PH_a7bb8ed03770,STANDARD,2025-02-24T00:27:35
CUST_000017,Kalpit Padmanabhan,user_17_52b662@example.synth,PH_52b6621ee58a,PREMIUM,2025-08-22T18:17:45
CUST_000018,Tanay Pai,user_18_dfa10a@example.synth,PH_dfa10aa0be09,PREMIUM,2025-10-31T01:02:44
CUST_000019,Vyanjana Dube,user_19_be2871@example.synth,PH_be2871acd674,LOW_ACTIVITY,2025-01-14T16:39:45
CUST_000020,Tripti Oak,user_20_9ef6a6@example.synth,PH_9ef6a64a4b57,STANDARD,2025-02-21T23:10:36
CUST_000021,Noah Kashyap,user_21_85570b@example.synth,PH_85570b316b00,STANDARD,2025-03-11T00:28:09
CUST_000022,Daniel Rege,user_22_d8149e@example.synth,PH_d8149e50789d,STANDARD,2025-05-04T06:00:25
CUST_000023,Harish Verma,user_23_bdfcc5@example.synth,PH_bdfcc5ed412e,PREMIUM,2025-01-10T00:38:39
CUST_000024,Ikshita Borah,user_24_24878c@example.synth,PH_24878cf38ab2,STANDARD,2025-06-10T07:04:25
CUST_000025,Ishaan Grover,user_25_9f788e@example.synth,PH_9f788e2fd18b,STANDARD,2025-02-21T23:53:28
CUST_000026,Aayush Balay,user_26_c2bbfe@example.synth,PH_c2bbfed13859,STANDARD,2025-03-22T19:21:31
CUST_000027,Harinakshi Chandra,user_27_8313b1@example.synth,PH_8313b1e3863c,STANDARD,2025-10-28T02:55:09
CUST_000028,Naksh Chaudhry,user_28_dee0a5@example.synth,PH_dee0a523642a,STANDARD,2025-07-04T17:36:26
CUST_000029,Jagrati Saini,user_29_74461e@example.synth,PH_74461ee2bc1a,PREMIUM,2025-03-13T04:24:02
CUST_000030,Zayyan Rastogi,user_30_f055d6@example.synth,PH_f055d68fb350,STANDARD,2025-10-10T09:43:06
CUST_000031,David Sha,user_31_3e3838@example.synth,PH_3e3838aa9782,LOW_ACTIVITY,2025-08-20T19:16:01
CUST_000032,Ira Chaudry,user_32_d25a45@example.synth,PH_d25a4563eb16,STANDARD,2025-08-24T00:00:44
CUST_000033,Raghav Viswanathan,user_33_7527bd@example.synth,PH_7527bd6bad1a,STANDARD,2025-11-15T17:26:38
